City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Abu Kamal,SY,78.67,clear sky,34.4506,40.9171,محطة التلفاز
298,Pacific Grove,US,49.66,haze,36.6177,-121.9166,Lovers Point Inn
300,Jacksonville,US,62.1,few clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
301,Hovd,MN,43.74,clear sky,48.0056,91.6419,Hotel Khovd
302,Kaeo,NZ,62.91,overcast clouds,-35.1,173.7833,Bushido Lodge
303,Portovelo,EC,79.21,light rain,-3.7167,-79.6167,"Hotel ""Curipamba"""
304,Sampit,ID,74.28,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
306,Polonnaruwa,LK,77.58,heavy intensity rain,7.9333,81.0,Thisara Guest House
310,Cidreira,BR,72.27,overcast clouds,-30.1811,-50.2056,Hotel Castelo
311,Hammelburg,DE,47.05,broken clouds,50.1167,9.9,Kaisers Weinland Hotel
312,Middelburg,ZA,56.61,moderate rain,-25.7751,29.4648,Oregon Place Guest House
314,Senneterre,CA,33.1,overcast clouds,48.3835,-77.2328,Motel Senabi
315,Volnovakha,UA,56.86,overcast clouds,47.601,37.4967,Oazys
316,Victoria,HK,74.17,clear sky,22.2855,114.1577,Mini Hotel Central
317,Grao Mogol,BR,88.48,clear sky,-16.5594,-42.8897,Pousada do Eti
319,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
320,Palmer,US,54.64,broken clouds,42.1584,-72.3287,Wedgewood Motel
321,Visnes,NO,42.85,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
322,Kenora,CA,31.17,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
323,Kalmunai,LK,79.88,heavy intensity rain,7.4167,81.8167,VS Villa
324,Flagstaff,US,50.11,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
327,Bereda,ES,66.15,broken clouds,43.2686,-7.5406,Pazo de Verdes
329,Grindavik,IS,39.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
330,Panzhihua,CN,66.24,clear sky,26.5851,101.7128,Electric Power Hotel
331,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
332,Markova,UA,39.04,overcast clouds,48.6758,24.4138,Vas.VOM
333,Byron Bay,AU,64.94,broken clouds,-28.65,153.6167,Backpackers Inn
334,Sebring,US,66.15,scattered clouds,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
335,Korla,CN,73.42,broken clouds,41.7597,86.1469,Gulisitan Hotel
336,Faanui,PF,82.38,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
337,Sonoita,MX,74.34,clear sky,31.85,-112.8333,Hotel internacional
339,San Quintin,MX,68.38,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
340,Dawlatabad,AF,80.69,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
341,Aguimes,ES,65.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
342,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
343,Paris,FR,54.37,scattered clouds,48.8534,2.3488,Hôtel Britannique - Paris Centre
344,Miramar,US,75.02,broken clouds,25.9873,-80.2323,Stadium Hotel
345,El Tigre,VE,87.87,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
346,Niquelandia,BR,92.1,clear sky,-14.4739,-48.4597,Hotel Suinã
